SP Distance (m),simulated V
1474.355541,-55.829718
1474.947446,-56.006381
1475.539352,-56.319837
1476.790818,-56.485727
1478.06995,-56.792418
1478.661855,-56.955128
1479.349193,-57.265134
1480.555389,-57.438896
1481.524842,-57.769192
1483.466137,-57.971602
1484.649948,-58.340238
1485.337286,-58.587408
1485.929191,-59.006786
1486.521097,-59.31047
1487.102536,-59.79265
1487.683975,-60.166349
1488.27588,-60.724046
1489.347596,-61.174432
1489.939502,-61.808489
1492.347233,-62.336544
1492.939139,-63.048642
1493.531044,-63.649977
1494.619814,-64.429563
1495.201253,-65.093868
1495.734071,-65.925149
1496.325977,-66.622452
1496.917883,-67.469081
1497.605221,-68.151189
1498.102265,-68.940577
1499.401591,-69.522701
1501.595012,-70.166421
1502.711625,-70.565931
1503.208669,-70.998513
1503.800575,-71.172205
1505.195619,-71.371225
1505.692663,-71.31765
1506.284569,-71.304844
1506.876474,-71.052565
1507.373518,-70.866095
1507.965424,-70.47849
1508.652762,-70.197046
1510.259565,-69.756999
1513.008917,-69.455841
1513.590357,-69.020247
1514.277695,-68.738255
1514.956041,-68.329267
1515.547946,-68.074049
1516.235285,-67.691715
1516.91363,-67.467319
1518.288307,-67.119296
1518.880213,-66.928531
1520.054244,-66.608507
1522.203244,-66.433459
1522.6064,-66.121097
1523.389533,-65.954733
1523.981439,-65.652695
1525.825995,-65.496871
1526.323039,-65.204
1526.914945,-65.054062
1530.44731,-64.763782
1530.980129,-64.618319
1531.477173,-64.336096
1532.069079,-64.204894
1533.185692,-63.947452
1533.777598,-63.850432
1534.310417,-63.628989
1534.902322,-63.556343
1535.049536,-63.352668
1535.54658,-63.296421
1536.172313,-63.110123
1545.574108,-63.068975
1545.977265,-62.890271
1546.474309,-62.850834
1547.859485,-62.668851
1549.484858,-62.62454
1549.888014,-62.43918
1550.385059,-62.403225
1550.788215,-62.253106
1551.191372,-62.261944
1552.636021,-62.161737
1553.039178,-62.228893
1554.434222,-62.184261
1554.837379,-62.298766
1555.240535,-62.294909
1556.553954,-62.455707
1556.957111,-62.500524
1557.360267,-62.700652
1558.362339,-62.760334
1559.168652,-62.949544
1559.571809,-62.97998
1559.974965,-63.121448
1561.530592,-63.086344
1561.977109,-63.158457
1562.423627,-63.057589
1562.870145,-63.070225
1563.935783,-62.902392
1564.558034,-62.84209
1565.055078,-62.605012
1565.552123,-62.48752
1566.174373,-62.203094
1566.88801,-62.054898
1567.575349,-61.757319
1568.878265,-61.607141
1569.565604,-61.317601
1570.279241,-61.1905
1570.96658,-60.932256
1571.558486,-60.836201
1572.245825,-60.607466
1572.837732,-60.540654
1574.357418,-60.339763
1574.949325,-60.300851
1575.240045,-60.127763
1575.73709,-60.115681
1576.35934,-59.966344
1577.448112,-59.967069
1577.945156,-59.808718
1578.537063,-59.787986
1579.034107,-59.614234
1579.626014,-59.587537
1580.55939,-59.413135
1581.151297,-59.392026
1582.223015,-59.226283
1582.223015,-59.211602
1583.597693,-59.049313
1584.285033,-59.037629
1584.972372,-58.882757
1586.251507,-58.888896
1586.39872,-58.75527
1587.077067,-58.778258
1587.764406,-58.652479
1589.234806,-58.673734
1590.01006,-58.537553
1591.004149,-58.543693
1591.691489,-58.39347
1592.474623,-58.391127
1593.152969,-58.237296
1593.936103,-58.237204
1595.104252,-58.091379
1595.791591,-58.105836
1596.566845,-57.979435
1597.254184,-58.019903
1598.037318,-57.926104
