%SP Distance (m),simulated V
1090.33318,-64.05897128
1091.143514,-64.46911112
1091.874652,-64.86035251
1096.702436,-68.0712975
1097.457867,-68.68598372
1105.366281,-71.03958676
1107.289063,-66.1704926
1108.188939,-63.38781179
1109.183022,-60.4624539
1109.852796,-58.71559942
1110.969403,-56.30476652
1111.902774,-54.75868808
1113.413637,-53.00358315
1114.347008,-52.27442962
1116.396013,-51.31483041
1118.262755,-50.93763309
1119.196127,-50.86308349
1120.129498,-50.84354432
1121.921637,-50.92171428
1122.368152,-50.95977012
1123.261184,-51.05359603
1124.564092,-51.22612331
1125.497464,-51.37112216
1126.430835,-51.53101443
1127.85532,-51.79932752
1128.698847,-51.97017267
1129.454279,-52.1298637
1133.716811,-53.1308041
1134.560339,-53.34669157
1135.403867,-53.56803896
1136.660211,-53.90769626
1138.045385,-54.29598546
1139.246763,-54.6445866
1140.316813,-54.96452089
1141.433422,-55.30810952
1142.607451,-55.6804318
1143.362883,-55.92619778
1145.680088,-56.71187334
1147.107355,-57.22108226
1147.950883,-57.5316453
1148.706315,-57.81608487
1149.461747,-58.10667564
1155.059667,-60.46975254
1155.952699,-60.88377963
1156.796227,-61.28484104
1157.729599,-61.74009019
1158.754104,-62.2537817
1160.931636,-63.39398266
1161.925721,-63.93569207
1163.093864,-64.58797871
1164.277671,-65.2644885
1165.349385,-65.8879604
1166.517527,-66.57574819
1187.425314,-62.57760991
1188.11265,-61.31639021
1188.704554,-60.19874102
1189.296458,-59.06093151
1190.175627,-57.351867
1190.862963,-56.01499449
1191.360005,-55.05521485
1192.259883,-53.34661075
1194.248054,-49.78855452
1194.358873,-49.60136977
1194.950777,-48.62419207
1195.573026,-47.63956574
1196.661793,-46.0264191
1197.253697,-45.20914464
1197.923471,-44.33509281
1198.610808,-43.49342292
1199.10785,-42.91897068
1199.730099,-42.23919226
1200.322003,-41.63195984
1200.819046,-41.15068312
1201.41095,-40.61036395
1202.499717,-39.70463573
1203.66786,-38.85025813
1204.290109,-38.44065419
1204.977446,-38.02219905
1205.655789,-37.6419997
1206.43892,-37.24074453
1207.117264,-36.92349929
1207.900395,-36.58960624
1209.450895,-36.02050856
1210.138231,-35.80328566
1210.921362,-35.57928447
1211.704493,-35.37833048
1212.479743,-35.20022999
1213.167079,-35.05828583
1213.845423,-34.93179212
1214.628554,-34.80127932
1216.098949,-34.59661966
1216.882079,-34.50687072
1217.66521,-34.4290942
1218.448341,-34.3623132
1219.231472,-34.30563387
1221.389176,-34.19526758
1222.750383,-34.1553265
1223.437719,-34.14266368
1224.798926,-34.13077359
1225.486263,-34.13082252
1226.164607,-34.13449119
1226.842951,-34.14151088
1227.13367,-34.14548829
1227.821006,-34.15707595
1228.49935,-34.17135594
1229.186687,-34.18851116
1230.543375,-34.2296069
1231.135279,-34.25028659
1231.813623,-34.27586435
1232.50096,-34.3036957
1233.082398,-34.3286474
1233.769734,-34.35970164
1234.351172,-34.38720924
1234.943077,-34.41630615
1236.207723,-34.48188065
1236.704766,-34.50882632
1237.38311,-34.54658329
1237.964548,-34.57979673
1238.642892,-34.61947421
1239.426023,-34.66644051
1240.104367,-34.70805575
1240.887498,-34.75709661
1242.244187,-34.8443492
1242.931523,-34.8895596
1243.706774,-34.94128726
1244.39411,-34.98775211
1245.081447,-35.0347418
1245.662885,-35.07487334
1247.024092,-35.17006816
1247.615996,-35.2119568
1248.29434,-35.26029609
1248.886245,-35.30274646
1249.478149,-35.34543142
1250.059587,-35.38757469
1250.746924,-35.43764634
1251.915068,-35.52331272
1252.506973,-35.5669668
1253.088411,-35.60999466
1253.680315,-35.65393419
1254.261753,-35.69722112
1254.843191,-35.74062154
1255.435096,-35.78491036
1256.016534,-35.82851239
1256.597972,-35.87220168
1257.179409,-35.91597036
1257.771314,-35.96060105
1258.837284,-36.04114223
1259.418721,-36.08515144
1260.000159,-36.12920789
1260.581597,-36.17330584
1261.066129,-36.21008199
1261.647567,-36.25424232
1262.713536,-36.33526989
1263.305441,-36.38029153
1263.789973,-36.41715765
1264.274504,-36.45403163
1264.855942,-36.49828792
1265.340474,-36.53517198
1266.926217,-36.65588371
1267.410749,-36.69276126
1268.476718,-36.77386892
1268.96125,-36.81072245
1269.542688,-36.85493281
1270.511751,-36.92857755
1271.008794,-36.96632922
1271.374364,-36.99408495
1272.483204,-37.07821541
1272.980247,-37.11589698
1273.949311,-37.18930468
1275.103792,-37.27664986
1276.212632,-37.36042338
1277.530986,-37.45986496
1278.330567,-37.52008718
1278.815098,-37.55654699
1280.066563,-37.65059608
1280.744907,-37.70150028
1281.913052,-37.78903532
1282.504956,-37.83332864
1283.183301,-37.88403948
1283.861645,-37.93469538
1284.636896,-37.99252032
1285.791377,-38.07849729
1286.566627,-38.13614163
1287.253964,-38.18718833
1288.029215,-38.24469566
1289.579716,-38.35949305
1290.362847,-38.41736573
1291.242016,-38.48224865
1292.017267,-38.5393867
1292.792517,-38.59645434
1293.671687,-38.66108742
1295.125282,-38.76775612
1295.908413,-38.8251258
1296.683664,-38.88185134
1297.982989,-38.97677699
1320.317956,-40.5852313
1347.703004,-42.5322588
1348.390341,-42.58128644
1349.068686,-42.62969447
1349.756023,-42.6787673
1350.434367,-42.72722186
1351.121704,-42.77634392
1351.800049,-42.82484915
1353.257862,-42.9291818
1354.150896,-42.99315934
1354.82924,-43.04179101
1355.507585,-43.09045379
1356.089023,-43.13219015
1356.670461,-43.17395065
1357.700954,-43.24802478
1358.863831,-43.33171271
1360.220519,-43.42948591
1360.898864,-43.4784304
1362.646695,-43.60472739
1364.854881,-43.76469403
1365.533226,-43.8139306
1366.21157,-43.86321373
1366.889914,-43.91254449
1367.180634,-43.93370116
1368.34351,-44.01841841
1369.021854,-44.06790535
1370.378543,-44.16703558
1371.056888,-44.21668088
1371.744225,-44.26704013
1372.422569,-44.31679663
1373.004007,-44.35949025
1373.682352,-44.40935309
1374.369689,-44.45993675
1376.224202,-44.59672589
1376.902546,-44.64687616
1377.580891,-44.69708999
1378.065423,-44.73299644
1378.848554,-44.79110121
1379.333086,-44.82709553
1379.774726,-44.85993337
1380.942871,-44.94692935
1381.427403,-44.98307446
1382.11474,-45.03441007
1382.793084,-45.08514589
1383.480421,-45.13662822
1386.791968,-45.38574405
1387.888682,-45.46865306
1389.368147,-45.58083088
1390.033064,-45.63137454
1390.758758,-45.68663007
1392.893576,-45.8497473
1393.485481,-45.89512715
1394.846689,-45.99974685
1395.822069,-46.07493889
1396.225224,-46.10607419
1397.000475,-46.16603953
1397.687812,-46.21930865
1398.663192,-46.29507133
1399.255097,-46.34114609
1400.038229,-46.40222218
1400.716573,-46.45523387
1401.995705,-46.55547334
1402.492748,-46.59452324
1403.180085,-46.64861605
1403.955336,-46.70975795
1405.425732,-46.82610975
1406.208864,-46.88828826
1406.984115,-46.94998691
1407.863285,-47.02013393
1408.550622,-47.07510841
1409.237959,-47.13020135
1409.925297,-47.18541414
1412.034417,-47.35559799
