DCx,X,Z,K,Theta,q
2478,18541,-1.298000,0.000373239,201.7672018,2.938775178
2483,18536,-1.298000,0.000372168,154.3773664,1.047297266
2488,18531,-1.298000,0.000371139,255.6184791,0.783008271
2493,18526,-1.298000,0.000371575,236.7056807,1.769827246
2498,18521,-1.298000,0.000369308,341.9326618,2.236154531
2503,18517,-1.298000,0.000369218,199.8030306,0.245951713
2508,18512,-1.298000,0.000370207,34.10194831,1.124867516
2513,18507,-1.298000,0.000369265,154.5406152,0.261025333
2518,18502,-1.298000,0.000370583,111.5994823,0.954454216
2523,18497,-1.298000,0.000371646,262.6843767,1.359689837
2528,18492,-1.298000,0.00037101,71.01284102,0.483242716
2533,18487,-1.298000,0.000370862,56.55770998,0.179604446
2538,18482,-1.298000,0.000369471,81.78705294,1.334595653
2543,18477,-1.298000,0.000367767,75.56537867,0.855821303
2548,18472,-1.298000,0.00036615,142.9900387,0.59753467
2553,18467,-1.298000,0.000363915,1.193290305,1.529435687
2558,18462,-1.298000,0.000361931,231.8817834,0.058435299
2563,18457,-1.298000,0.000361302,199.751053,2.490307785
2568,18452,-1.298000,0.000360191,330.9568329,0.60115669
2573,18447,-1.298000,0.000359682,192.2583688,1.279689679
2578,18442,-1.298000,0.000360189,55.99447694,2.19926548
2583,18437,-1.298000,0.000362031,66.21900352,1.580390319
2588,18432,-1.298000,0.000361144,358.1803457,0.807895534
2593,18427,-1.298000,0.000364684,285.0373589,2.303505683
2598,18422,-1.298000,0.000369509,147.1565901,2.863237422
2603,18417,-1.298000,0.000372853,80.88307825,0.353062114
2608,18412,-1.298000,0.000375897,140.4187702,0.07466466
2613,18407,-1.298000,0.000377008,155.1153261,1.266120344
2618,18402,-1.298000,0.000378038,26.35106464,0.193151881
2623,18397,-1.298000,0.000378522,290.7807964,0.376807968
2628,18392,-1.298000,0.0003782,30.73887569,0.277253262
2633,18387,-1.298000,0.000377154,322.3688831,0.69806782
2638,18382,-1.298000,0.000375497,316.6007767,0.633579183
2643,18377,-1.298000,0.000373319,39.37642822,1.829432942
2648,18372,-1.298000,0.000370316,26.13321901,1.183581158
2653,18367,-1.298000,0.000369085,157.5585117,2.180095176
2658,18362,-1.298000,0.000367941,320.0513971,2.883894462
2663,18357,-1.298000,0.000365732,208.4818965,2.250651613
2668,18352,-1.298000,0.000365128,349.9407545,0.236219319
2673,18347,-1.298000,0.000365494,205.8851778,2.603859153
2678,18342,-1.298000,0.000363305,113.6035566,1.088312592
2683,18337,-1.298000,0.000365756,290.3362354,2.391021382
2688,18332,-1.298000,0.000365867,171.9610852,2.359161564
2693,18327,-1.298000,0.000365714,225.4965882,0.994064243
2698,18322,-1.298000,0.000369576,76.19474661,2.849974366
2703,18317,-1.298000,0.000372607,15.1259004,2.48546893
